"search-number","evaluation","numberagents*","a*","b*","c*","vision*","numberobjects*","objectstrategy*","numberpackets*","numbergroupmax*","d*","num-replicates","best-fitness-so-far"
"1","500","100","2.2","2.2","7","10","100","""byRandom""","4","1","0","10","53.5"
"2","500","100","0.8","5.4","3.2","10","100","""byRandom""","4","1","0","10","54.4"
"3","500","100","5.6000000000000005","5","4.800000000000001","10","100","""byRandom""","4","1","0","10","55"
