"search-number","evaluation","numberagents*","a*","b*","c*","vision*","numberobjects*","objectstrategy*","numberpackets*","numbergroupmax*","d*","fitness","num-replicates","best-fitness-so-far"
"2","120","100","1.6","6.2","8.6","10","100","""byPackets""","5","1","0","57.3","10","57.3"
"2","130","100","5.4","8.8","3.4000000000000004","10","100","""byPackets""","5","1","0","82.65","10","57.3"
"2","140","100","0","1.2000000000000002","1.6","10","100","""byPackets""","5","1","0","65.6","10","57.3"
"2","150","100","5","0.6000000000000001","4.6000000000000005","10","100","""byPackets""","5","1","0","59.15","10","57.3"
"2","160","100","0.6000000000000001","2","3","10","100","""byPackets""","5","1","0","56.9","10","56.9"
"2","170","100","3.2","2","1.2000000000000002","10","100","""byPackets""","5","1","0","67.45","10","56.9"
"2","180","100","9.8","9.600000000000001","6.4","10","100","""byPackets""","5","1","0","58.9","10","56.9"
"2","190","100","8.4","7.800000000000001","2.8000000000000003","10","100","""byPackets""","5","1","0","64.65","10","56.9"
"2","200","100","5","3","10","10","100","""byPackets""","5","1","0","63.65","10","56.9"
"2","210","100","2.6","0.4","7.6000000000000005","10","100","""byPackets""","5","1","0","59.75","10","56.9"
"2","220","100","4.2","3.2","2.6","10","100","""byPackets""","5","1","0","61.5","10","56.9"
"2","230","100","2.8000000000000003","2.8000000000000003","4.2","10","100","""byPackets""","5","1","0","57.7","10","56.9"
"2","240","100","7.800000000000001","8.8","3.2","10","100","""byPackets""","5","1","0","70.75","10","56.9"
"2","250","100","9","2","1","10","100","""byPackets""","5","1","0","62.45","10","56.9"
"2","260","100","6","4.800000000000001","0.6000000000000001","10","100","""byPackets""","5","1","0","68.55","10","56.9"
"2","270","100","5.800000000000001","8.8","4.800000000000001","10","100","""byPackets""","5","1","0","60.55","10","56.9"
"2","280","100","2","6","6","10","100","""byPackets""","5","1","0","58.6","10","56.9"
"2","290","100","6.800000000000001","2.8000000000000003","4.4","10","100","""byPackets""","5","1","0","61.6","10","56.9"
"2","300","100","7.800000000000001","6.6000000000000005","0","10","100","""byPackets""","5","1","0","79.85","10","56.9"
"2","310","100","3.8000000000000003","8.200000000000001","8.6","10","100","""byPackets""","5","1","0","59.45","10","56.9"
"2","320","100","0","6.2","2.4000000000000004","10","100","""byPackets""","5","1","0","71.75","10","56.9"
"2","330","100","2.8000000000000003","1.6","0","10","100","""byPackets""","5","1","0","71.7","10","56.9"
"2","340","100","1.4000000000000001","5.6000000000000005","3.6","10","100","""byPackets""","5","1","0","56.75","10","56.75"
"2","350","100","2.6","5.6000000000000005","8.6","10","100","""byPackets""","5","1","0","54.6","10","54.6"
"2","360","100","2","5","1.4000000000000001","10","100","""byPackets""","5","1","0","98.35","10","54.6"
"2","370","100","6.2","6.2","7.2","10","100","""byPackets""","5","1","0","60.85","10","54.6"
"2","380","100","0","4.800000000000001","10","10","100","""byPackets""","5","1","0","66.1","10","54.6"
"2","390","100","7.2","4.2","0.8","10","100","""byPackets""","5","1","0","63.7","10","54.6"
"2","400","100","2.2","5.4","4.2","10","100","""byPackets""","5","1","0","61.3","10","54.6"
"2","410","100","0.8","6.2","3.6","10","100","""byPackets""","5","1","0","57.3","10","54.6"
"2","420","100","9.8","0.6000000000000001","9.600000000000001","10","100","""byPackets""","5","1","0","57.7","10","54.6"
"2","430","100","0","9.4","2.8000000000000003","10","100","""byPackets""","5","1","0","81.65","10","54.6"
"2","440","100","0.8","0.6000000000000001","0","10","100","""byPackets""","5","1","0","64.7","10","54.6"
"2","450","100","4.6000000000000005","4","3.2","10","100","""byPackets""","5","1","0","59.4","10","54.6"
"2","460","100","4.800000000000001","2.6","0.4","10","100","""byPackets""","5","1","0","73.65","10","54.6"
"2","470","100","1","7","6","10","100","""byPackets""","5","1","0","59.9","10","54.6"
"2","480","100","5.4","4","5","10","100","""byPackets""","5","1","0","58.95","10","54.6"
"2","490","100","1.8","1.4000000000000001","4","10","100","""byPackets""","5","1","0","60.75","10","54.6"
"2","500","100","6.800000000000001","2.2","3.8000000000000003","10","100","""byPackets""","5","1","0","59.65","10","54.6"
"3","10","100","7.2","8.6","7.800000000000001","10","100","""byPackets""","5","1","0","59.15","10","59.15"
"3","20","100","5.4","0.2","4.6000000000000005","10","100","""byPackets""","5","1","0","59.9","10","59.15"
"3","30","100","0.2","5.2","9.4","10","100","""byPackets""","5","1","0","62.45","10","59.15"
"3","40","100","0.4","2.8000000000000003","6.800000000000001","10","100","""byPackets""","5","1","0","54.45","10","54.45"
"3","50","100","7.800000000000001","7.800000000000001","7","10","100","""byPackets""","5","1","0","62.1","10","54.45"
"3","60","100","1.6","6.4","4.800000000000001","10","100","""byPackets""","5","1","0","63.3","10","54.45"
"3","70","100","1.8","2.2","8","10","100","""byPackets""","5","1","0","60.1","10","54.45"
"3","80","100","2.4000000000000004","9.8","4.800000000000001","10","100","""byPackets""","5","1","0","58.25","10","54.45"
"3","90","100","4","6.2","0.6000000000000001","10","100","""byPackets""","5","1","0","68.35","10","54.45"
"3","100","100","2.4000000000000004","1.6","1","10","100","""byPackets""","5","1","0","79.85","10","54.45"
"3","110","100","8.8","1.6","3","10","100","""byPackets""","5","1","0","59.6","10","54.45"
