"search-number","evaluation","numberagents*","a*","b*","c*","vision*","numberobjects*","objectstrategy*","numberpackets*","numbergroupmax*","d*","fitness","num-replicates","best-fitness-so-far"
"1","305","100","2.4000000000000004","5.4","9.4","10","100","""byPackets""","5","1","3.4000000000000004","63.8","5","53.4"
"1","310","100","3.4000000000000004","7.800000000000001","9.4","10","100","""byPackets""","5","1","7.800000000000001","62.2","5","53.4"
"1","315","100","6.4","3.6","4","10","100","""byPackets""","5","1","9.4","68","5","53.4"
"1","320","100","8.8","4","0.8","10","100","""byPackets""","5","1","6.6000000000000005","60.8","5","53.4"
"1","325","100","5.4","6.2","6.2","10","100","""byPackets""","5","1","2.2","59.1","5","53.4"
"1","330","100","6.2","0.8","8.4","10","100","""byPackets""","5","1","8.6","57.6","5","53.4"
"1","335","100","1","9","9.200000000000001","10","100","""byPackets""","5","1","4.800000000000001","61.2","5","53.4"
"1","340","100","0","3.2","5.4","10","100","""byPackets""","5","1","5.4","59.1","5","53.4"
"1","345","100","5","4.800000000000001","7.2","10","100","""byPackets""","5","1","1.2000000000000002","59.3","5","53.4"
"1","350","100","7","6.2","2.2","10","100","""byPackets""","5","1","7.2","66.3","5","53.4"
"1","355","100","9.4","4","2.6","10","100","""byPackets""","5","1","8.6","56.1","5","53.4"
"1","360","100","9.200000000000001","4.2","2.8000000000000003","10","100","""byPackets""","5","1","8.4","59.5","5","53.4"
"1","365","100","6.4","0","7.2","10","100","""byPackets""","5","1","1.2000000000000002","62.8","5","53.4"
"1","370","100","7","9.8","2.8000000000000003","10","100","""byPackets""","5","1","5.800000000000001","56.9","5","53.4"
"1","375","100","9.200000000000001","3.2","4.6000000000000005","10","100","""byPackets""","5","1","5.800000000000001","64.3","5","53.4"
"1","380","100","5.4","7","9.600000000000001","10","100","""byPackets""","5","1","0.4","57.5","5","53.4"
"1","385","100","1.6","6.800000000000001","5.2","10","100","""byPackets""","5","1","9.4","64.7","5","53.4"
"1","390","100","2.8000000000000003","9.4","4.2","10","100","""byPackets""","5","1","3","62.2","5","53.4"
"1","395","100","10","1.6","5.4","10","100","""byPackets""","5","1","3","60.6","5","53.4"
"1","400","100","1","9.4","1.6","10","100","""byPackets""","5","1","5","66.1","5","53.4"
"1","405","100","9.200000000000001","6.2","2.2","10","100","""byPackets""","5","1","7.2","61.2","5","53.4"
"1","410","100","6","3.2","4.2","10","100","""byPackets""","5","1","4","57.3","5","53.4"
