"search-number","evaluation","numberagents*","a*","b*","c*","vision*","numberobjects*","objectstrategy*","numberpackets*","numbergroupmax*","d*","num-replicates","best-fitness-so-far"
"1","455","100","9.200000000000001","0.8","4.4","10","100","""byPackets""","5","1","4","5","53.4"
"2","455","100","8.6","9","8.4","10","100","""byPackets""","5","1","6","5","53.1"
"3","450","100","0.4","5.4","6.2","10","100","""byPackets""","5","1","0.8","5","53.4"
