"search-number","evaluation","evals-requested-so-far","numberagents*","a*","b*","c*","vision*","numberobjects*","objectstrategy*","numberpackets*","numbergroupmax*","d*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","40","250","100","6.4","2.8000000000000003","7.800000000000001","10","100","""byPackets""","5","1","7.4","""1831304996""","0","130","65","37.960505792204614","130"
"1","41","250","100","2.4000000000000004","7.2","1.8","10","100","""byPackets""","5","1","6.2","""-1969942959""","0","105","52.5","30.743563011900015","105"
"1","42","250","100","2.4000000000000004","7.2","1.8","10","100","""byPackets""","5","1","6.2","""-834378339""","0","152","76","44.31139808220905","152"
"1","43","250","100","2.4000000000000004","7.2","1.8","10","100","""byPackets""","5","1","6.2","""-1156207965""","0","127","63.5","37.094473981982816","127"
"1","44","250","100","2.4000000000000004","7.2","1.8","10","100","""byPackets""","5","1","6.2","""-1117912357""","0","156","78","45.466104590856105","156"
"1","45","250","100","2.4000000000000004","7.2","1.8","10","100","""byPackets""","5","1","6.2","""2084421363""","0","113","56.5","33.05298776207682","113"
"1","46","250","100","4","5.800000000000001","4.800000000000001","10","100","""byPackets""","5","1","3.6","""-737010447""","0","103","51.5","30.166206257996713","103"
"1","47","250","100","4","5.800000000000001","4.800000000000001","10","100","""byPackets""","5","1","3.6","""1670789375""","0","105","52.5","30.743563011900015","105"
"1","48","250","100","4","5.800000000000001","4.800000000000001","10","100","""byPackets""","5","1","3.6","""1054164361""","0","128","64","37.383151285037485","128"
"1","49","250","100","4","5.800000000000001","4.800000000000001","10","100","""byPackets""","5","1","3.6","""493723221""","0","92","46","26.99073915253156","92"
"1","50","250","100","4","5.800000000000001","4.800000000000001","10","100","""byPackets""","5","1","3.6","""79256048""","0","113","56.5","33.05298776207682","113"
"1","51","250","100","5.2","8.4","8.200000000000001","10","100","""byPackets""","5","1","0.4","""-454594491""","0","119","59.5","34.785054261852174","119"
"1","52","250","100","5.2","8.4","8.200000000000001","10","100","""byPackets""","5","1","0.4","""-1164842182""","0","103","51.5","30.166206257996713","103"
"1","53","250","100","5.2","8.4","8.200000000000001","10","100","""byPackets""","5","1","0.4","""-2010938753""","0","123","61.5","35.939764421413045","123"
"1","54","250","100","5.2","8.4","8.200000000000001","10","100","""byPackets""","5","1","0.4","""-1990260354""","0","121","60.5","35.36240942017385","121"
"1","55","250","100","5.2","8.4","8.200000000000001","10","100","""byPackets""","5","1","0.4","""1848011570""","0","89","44.5","26.124700955226263","89"
"1","56","250","100","1","6.2","2.6","10","100","""byPackets""","5","1","4.6000000000000005","""-1785529981""","0","115","57.5","33.63034344160047","115"
"1","57","250","100","1","6.2","2.6","10","100","""byPackets""","5","1","4.6000000000000005","""-117809848""","0","130","65","37.960505792204614","130"
"1","58","250","100","1","6.2","2.6","10","100","""byPackets""","5","1","4.6000000000000005","""516483652""","0","126","63","36.8057966449127","126"
"1","59","250","100","1","6.2","2.6","10","100","""byPackets""","5","1","4.6000000000000005","""2105903209""","0","142","71","41.42463035441596","142"
"1","60","250","100","1","6.2","2.6","10","100","""byPackets""","5","1","4.6000000000000005","""-1659081028""","0","127","63.5","37.094473981982816","127"
"1","61","250","100","7.4","0","5.4","10","100","""byPackets""","5","1","2.6","""12456845""","0","116","58","33.91902121229326","116"
"1","62","250","100","7.4","0","5.4","10","100","""byPackets""","5","1","2.6","""38227867""","0","125","62.5","36.51711927302043","125"
"1","63","250","100","7.4","0","5.4","10","100","""byPackets""","5","1","2.6","""-1840654059""","0","111","55.5","32.47563189018293","111"
"1","64","250","100","7.4","0","5.4","10","100","""byPackets""","5","1","2.6","""763763975""","0","99","49.5","29.011491975882016","99"
"1","65","250","100","7.4","0","5.4","10","100","""byPackets""","5","1","2.6","""276437952""","0","112","56","32.76430985081175","112"
"1","66","250","100","6.2","6.2","5.4","10","100","""byPackets""","5","1","9.4","""1586144995""","0","106","53","31.0322412983658","106"
"1","67","250","100","6.2","6.2","5.4","10","100","""byPackets""","5","1","9.4","""-1518482033""","0","110","55","32.18695387886216","110"
"1","68","250","100","6.2","6.2","5.4","10","100","""byPackets""","5","1","9.4","""2062809340""","0","111","55.5","32.47563189018293","111"
"1","69","250","100","6.2","6.2","5.4","10","100","""byPackets""","5","1","9.4","""-711025830""","0","93","46.5","27.279418371121235","93"
"1","70","250","100","6.2","6.2","5.4","10","100","""byPackets""","5","1","9.4","""1625281371""","0","115","57.5","33.63034344160047","115"
"1","71","250","100","9.4","9.600000000000001","8.4","10","100","""byPackets""","5","1","7.800000000000001","""-875669982""","0","120","60","35.073731861133155","120"
"1","72","250","100","9.4","9.600000000000001","8.4","10","100","""byPackets""","5","1","7.800000000000001","""901371045""","0","149","74.5","43.445367992456916","149"
"1","73","250","100","9.4","9.600000000000001","8.4","10","100","""byPackets""","5","1","7.800000000000001","""-1867483716""","0","124","62","36.2284418654736","124"
"1","74","250","100","9.4","9.600000000000001","8.4","10","100","""byPackets""","5","1","7.800000000000001","""-1072166777""","0","118","59","34.49637662132068","118"
"1","75","250","100","9.4","9.600000000000001","8.4","10","100","""byPackets""","5","1","7.800000000000001","""-150557983""","0","105","52.5","30.743563011900015","105"
"1","76","250","100","2.4000000000000004","2.8000000000000003","7.800000000000001","10","100","""byPackets""","5","1","5.4","""1596583676""","0","124","62","36.2284418654736","124"
