"search-number","evaluation","numberagents*","a*","b*","c*","vision*","numberobjects*","objectstrategy*","numberpackets*","numbergroupmax*","d*","fitness","num-replicates","best-fitness-so-far"
"1","110","100","7.6000000000000005","4.800000000000001","7","10","100","""byRandom""","5","5","4","104.3","5","100.6"
"1","115","100","6.800000000000001","1.6","9.4","10","100","""byRandom""","5","5","5.4","115.1","5","100.6"
"1","120","100","5.4","0","1.2000000000000002","10","100","""byRandom""","5","5","1.2000000000000002","141.4","5","100.6"
"1","125","100","4","7.800000000000001","0","10","100","""byRandom""","5","5","3.4000000000000004","121.8","5","100.6"
"1","130","100","6.4","5.6000000000000005","0","10","100","""byRandom""","5","5","8.6","108.7","5","100.6"
"1","135","100","8.6","8.8","6.6000000000000005","10","100","""byRandom""","5","5","8","120.6","5","100.6"
"1","140","100","4.6000000000000005","9.200000000000001","8.4","10","100","""byRandom""","5","5","7","105.5","5","100.6"
"1","145","100","1.2000000000000002","4.800000000000001","7.800000000000001","10","100","""byRandom""","5","5","1.4000000000000001","118.9","5","100.6"
"1","150","100","1.6","0.6000000000000001","4.4","10","100","""byRandom""","5","5","9.8","106.5","5","100.6"
"1","155","100","9.4","0.4","3.6","10","100","""byRandom""","5","5","9.600000000000001","126.5","5","100.6"
"1","160","100","2.4000000000000004","7.800000000000001","7.800000000000001","10","100","""byRandom""","5","5","8.6","106.7","5","100.6"
"1","165","100","5.6000000000000005","7","9","10","100","""byRandom""","5","5","9.4","110.6","5","100.6"
"1","170","100","7.800000000000001","3.6","6.800000000000001","10","100","""byRandom""","5","5","4.6000000000000005","104.9","5","100.6"
"1","175","100","7.6000000000000005","0.8","2.2","10","100","""byRandom""","5","5","2.6","107.2","5","100.6"
"1","180","100","1","8.8","6","10","100","""byRandom""","5","5","10","125.2","5","100.6"
"1","185","100","3.4000000000000004","7","1.4000000000000001","10","100","""byRandom""","5","5","10","113.6","5","100.6"
"1","190","100","7.6000000000000005","0.4","6.6000000000000005","10","100","""byRandom""","5","5","4","117.7","5","100.6"
"1","195","100","6.2","5.4","2.8000000000000003","10","100","""byRandom""","5","5","5.4","101.1","5","100.6"
"1","200","100","2.8000000000000003","0.6000000000000001","8.8","10","100","""byRandom""","5","5","1.8","115.7","5","100.6"
"1","205","100","4","5","0.8","10","100","""byRandom""","5","5","4.800000000000001","140.9","5","100.6"
"1","210","100","9.600000000000001","2.6","0","10","100","""byRandom""","5","5","6","123.4","5","100.6"
"1","215","100","8.6","1.4000000000000001","8","10","100","""byRandom""","5","5","1.2000000000000002","116.5","5","100.6"
"1","220","100","0.6000000000000001","6","7.800000000000001","10","100","""byRandom""","5","5","7.800000000000001","120","5","100.6"
"1","225","100","1.6","5.4","2.4000000000000004","10","100","""byRandom""","5","5","8","120.2","5","100.6"
"1","230","100","5.4","9.600000000000001","1.6","10","100","""byRandom""","5","5","7.800000000000001","117.9","5","100.6"
"1","235","100","7.4","2.2","1","10","100","""byRandom""","5","5","9.8","113.9","5","100.6"
"1","240","100","0","0","9.4","10","100","""byRandom""","5","5","2","113.2","5","100.6"
"1","245","100","7.2","5.2","8.6","10","100","""byRandom""","5","5","1.8","104.4","5","100.6"
"1","250","100","4.6000000000000005","8.6","8","10","100","""byRandom""","5","5","3.2","122.8","5","100.6"
"1","255","100","9.600000000000001","5.4","1.6","10","100","""byRandom""","5","5","2","117","5","100.6"
"1","260","100","0","3","9.4","10","100","""byRandom""","5","5","2","136.3","5","100.6"
"1","265","100","0","0","6.4","10","100","""byRandom""","5","5","7.800000000000001","122.5","5","100.6"
"1","270","100","0.6000000000000001","6","4","10","100","""byRandom""","5","5","2","117.4","5","100.6"
"1","275","100","7.2","0.6000000000000001","4.4","10","100","""byRandom""","5","5","9.600000000000001","118.5","5","100.6"
"1","280","100","1.6","5.2","8.6","10","100","""byRandom""","5","5","1.8","127.9","5","100.6"
"1","285","100","8.6","7.6000000000000005","2.4000000000000004","10","100","""byRandom""","5","5","4.800000000000001","128.8","5","100.6"
"1","290","100","1.8","7.800000000000001","0","10","100","""byRandom""","5","5","3.4000000000000004","112.6","5","100.6"
"1","295","100","6.2","7.2","3.8000000000000003","10","100","""byRandom""","5","5","4.800000000000001","114.1","5","100.6"
"1","300","100","2.4000000000000004","5","2.8000000000000003","10","100","""byRandom""","5","5","5.4","119.4","5","100.6"
"1","305","100","7.800000000000001","9.200000000000001","8.4","10","100","""byRandom""","5","5","7","111.2","5","100.6"
"1","310","100","4.800000000000001","5.2","8.6","10","100","""byRandom""","5","5","1.8","113.5","5","100.6"
"1","315","100","8.6","4","7","10","100","""byRandom""","5","5","4","108.4","5","100.6"
"1","320","100","7.6000000000000005","1.2000000000000002","8","10","100","""byRandom""","5","5","1.2000000000000002","109.3","5","100.6"
"1","325","100","2.4000000000000004","0.4","7","10","100","""byRandom""","5","5","4","119.5","5","100.6"
"1","330","100","7.6000000000000005","4.800000000000001","7.800000000000001","10","100","""byRandom""","5","5","8.6","114","5","100.6"
"1","335","100","3.8000000000000003","7.800000000000001","7.800000000000001","10","100","""byRandom""","5","5","8.6","126.4","5","100.6"
"1","340","100","2.4000000000000004","8.4","4.800000000000001","10","100","""byRandom""","5","5","6.2","125.1","5","100.6"
"1","345","100","9","0.2","6.6000000000000005","10","100","""byRandom""","5","5","4","113.4","5","100.6"
"1","350","100","7.6000000000000005","0.8","1.6","10","100","""byRandom""","5","5","5","105.3","5","100.6"
"1","355","100","7.6000000000000005","5.800000000000001","9","10","100","""byRandom""","5","5","8.6","109.8","5","100.6"
"1","360","100","7.800000000000001","5.6000000000000005","6.4","10","100","""byRandom""","5","5","4","116.8","5","100.6"
"1","365","100","9.600000000000001","0.8","1.6","10","100","""byRandom""","5","5","1.8","125.1","5","100.6"
"1","370","100","2.8000000000000003","0.6000000000000001","3.8000000000000003","10","100","""byRandom""","5","5","2.2","109.1","5","100.6"
"1","375","100","1.6","0.6000000000000001","4.800000000000001","10","100","""byRandom""","5","5","6.2","110","5","100.6"
"1","380","100","3.8000000000000003","8.4","7.800000000000001","10","100","""byRandom""","5","5","10","107.9","5","100.6"
"1","385","100","7.2","5.2","0.8","10","100","""byRandom""","5","5","9.600000000000001","127.8","5","100.6"
"1","390","100","7.4","4","8.4","10","100","""byRandom""","5","5","1.8","112.4","5","100.6"
"1","395","100","0","0.2","1.4000000000000001","10","100","""byRandom""","5","5","2","109.6","5","100.6"
"1","400","100","7.6000000000000005","0.8","2.2","10","100","""byRandom""","5","5","7","113.4","5","100.6"
"1","405","100","8.8","5.2","8.6","10","100","""byRandom""","5","5","1.8","128.3","5","100.6"
"1","410","100","6.2","0","9.4","10","100","""byRandom""","5","5","2","116.7","5","100.6"
"1","415","100","9.4","4.800000000000001","7.6000000000000005","10","100","""byRandom""","5","5","7","128.7","5","100.6"
"1","420","100","6.6000000000000005","4.2","2.2","10","100","""byRandom""","5","5","6","127.7","5","100.6"
"1","425","100","0","0.2","0.8","10","100","""byRandom""","5","5","6.4","118.3","5","100.6"
"1","430","100","9.600000000000001","0.8","1.6","10","100","""byRandom""","5","5","0.8","143.4","5","100.6"
"1","435","100","0.8","0.6000000000000001","7.4","10","100","""byRandom""","5","5","3","114","5","100.6"
"1","440","100","5.4","3","1.6","10","100","""byRandom""","5","5","7.2","107.4","5","100.6"
"1","445","100","6.2","5.4","2.8000000000000003","10","100","""byRandom""","5","5","5.6000000000000005","107.7","5","100.6"
"1","450","100","9.4","5.4","7.6000000000000005","10","100","""byRandom""","5","5","6.4","109.3","5","100.6"
"1","455","100","8.6","5.4","8.6","10","100","""byRandom""","5","5","1.8","119.4","5","100.6"
"2","5","100","2.8000000000000003","5.4","9.600000000000001","10","100","""byRandom""","5","5","5","115.1","5","115.1"
"2","10","100","8.6","9.4","1.6","10","100","""byRandom""","5","5","5","117","5","115.1"
"2","15","100","4","7.2","0.8","10","100","""byRandom""","5","5","1.2000000000000002","152.9","5","115.1"
"2","20","100","1.4000000000000001","7.800000000000001","0","10","100","""byRandom""","5","5","2.6","146.7","5","115.1"
"2","25","100","1.8","5.4","6.4","10","100","""byRandom""","5","5","1","112","5","112"
"2","30","100","9.8","3.2","2.4000000000000004","10","100","""byRandom""","5","5","7.800000000000001","122.3","5","112"
"2","35","100","6","1","9.200000000000001","10","100","""byRandom""","5","5","4","110.1","5","110.1"
"2","40","100","5.4","6","7.2","10","100","""byRandom""","5","5","8.200000000000001","118.2","5","110.1"
"2","45","100","6.6000000000000005","1.2000000000000002","2","10","100","""byRandom""","5","5","5.6000000000000005","147.1","5","110.1"
"2","50","100","6.2","5.2","4.800000000000001","10","100","""byRandom""","5","5","8.8","116.3","5","110.1"
"2","55","100","8.4","7.6000000000000005","9.4","10","100","""byRandom""","5","5","1.4000000000000001","104.6","5","104.6"
"2","60","100","5.2","6.4","8.8","10","100","""byRandom""","5","5","9","102.7","5","102.7"
"2","65","100","3.2","9.200000000000001","1.2000000000000002","10","100","""byRandom""","5","5","6.2","123.4","5","102.7"
"2","70","100","9.4","3","4.6000000000000005","10","100","""byRandom""","5","5","10","122","5","102.7"
"2","75","100","2.8000000000000003","8.6","6.2","10","100","""byRandom""","5","5","5.6000000000000005","127.7","5","102.7"
"2","80","100","3","6.4","9.4","10","100","""byRandom""","5","5","1","111.4","5","102.7"
"2","85","100","5.4","6.4","5.6000000000000005","10","100","""byRandom""","5","5","4","110.4","5","102.7"
"2","90","100","3.2","1.2000000000000002","1.6","10","100","""byRandom""","5","5","0.8","95.8","5","95.8"
"2","95","100","7.6000000000000005","4.6000000000000005","4","10","100","""byRandom""","5","5","8.6","118.1","5","95.8"
"2","100","100","9.4","3.6","1.4000000000000001","10","100","""byRandom""","5","5","9.600000000000001","115.3","5","95.8"
"2","105","100","7.800000000000001","9","7.800000000000001","10","100","""byRandom""","5","5","0","110.7","5","95.8"
"2","110","100","1","5.6000000000000005","0","10","100","""byRandom""","5","5","3.8000000000000003","149.2","5","95.8"
"2","115","100","3","4.4","8.4","10","100","""byRandom""","5","5","2.2","112.8","5","95.8"
"2","120","100","3.6","3.8000000000000003","2.2","10","100","""byRandom""","5","5","4.800000000000001","107","5","95.8"
"2","125","100","5.4","3.4000000000000004","4.6000000000000005","10","100","""byRandom""","5","5","2.4000000000000004","97","5","95.8"
"2","130","100","4.800000000000001","6","10","10","100","""byRandom""","5","5","8.8","131","5","95.8"
"2","135","100","2.4000000000000004","5.4","8.4","10","100","""byRandom""","5","5","4.800000000000001","125","5","95.8"
"2","140","100","7.800000000000001","2.8000000000000003","4.6000000000000005","10","100","""byRandom""","5","5","0.6000000000000001","129","5","95.8"
"2","145","100","5.6000000000000005","6.4","0.8","10","100","""byRandom""","5","5","5","146.8","5","95.8"
"2","150","100","8.6","7","6.800000000000001","10","100","""byRandom""","5","5","2.4000000000000004","116.7","5","95.8"
"2","155","100","9.8","3.4000000000000004","8.8","10","100","""byRandom""","5","5","0","110.9","5","95.8"
"2","160","100","1.6","1.8","2","10","100","""byRandom""","5","5","7.4","107.7","5","95.8"
"2","165","100","3.2","8.8","9.8","10","100","""byRandom""","5","5","8.200000000000001","102.9","5","95.8"
"2","170","100","4.6000000000000005","8.4","1.4000000000000001","10","100","""byRandom""","5","5","7.800000000000001","131.1","5","95.8"
"2","175","100","3.2","2.6","8.200000000000001","10","100","""byRandom""","5","5","1","106.4","5","95.8"
"2","180","100","5.6000000000000005","6.6000000000000005","4.800000000000001","10","100","""byRandom""","5","5","5.4","97.5","5","95.8"
"2","185","100","2.8000000000000003","4.6000000000000005","10","10","100","""byRandom""","5","5","4.800000000000001","111.6","5","95.8"
"2","190","100","1.2000000000000002","8.200000000000001","9.8","10","100","""byRandom""","5","5","0.2","116","5","95.8"
"2","195","100","5.4","10","8.200000000000001","10","100","""byRandom""","5","5","10","109.8","5","95.8"
"2","200","100","4.800000000000001","2.4000000000000004","6","10","100","""byRandom""","5","5","1.6","124.7","5","95.8"
"2","205","100","2","7","9.4","10","100","""byRandom""","5","5","9.200000000000001","124.4","5","95.8"
"2","210","100","5.4","4.6000000000000005","6.2","10","100","""byRandom""","5","5","8","104.9","5","95.8"
"2","215","100","7.800000000000001","7.6000000000000005","2.4000000000000004","10","100","""byRandom""","5","5","9.200000000000001","112.9","5","95.8"
"2","220","100","8.6","5.800000000000001","2.2","10","100","""byRandom""","5","5","6.2","123.1","5","95.8"
"2","225","100","4.800000000000001","8.6","1.4000000000000001","10","100","""byRandom""","5","5","6","117.4","5","95.8"
"2","230","100","5.4","1.6","4.800000000000001","10","100","""byRandom""","5","5","7.6000000000000005","111.3","5","95.8"
"2","235","100","6.4","6","8.8","10","100","""byRandom""","5","5","7.800000000000001","120.9","5","95.8"
"2","240","100","1","9.4","8.6","10","100","""byRandom""","5","5","7.4","115.2","5","95.8"
"2","245","100","4","3.2","8","10","100","""byRandom""","5","5","2.8000000000000003","112.9","5","95.8"
"2","250","100","6.4","0.6000000000000001","3.8000000000000003","10","100","""byRandom""","5","5","8.200000000000001","119.9","5","95.8"
"2","255","100","3.2","8.6","9.8","10","100","""byRandom""","5","5","8.200000000000001","108.4","5","95.8"
"2","260","100","5.2","3","8.4","10","100","""byRandom""","5","5","1","108","5","95.8"
"2","265","100","3.2","6.800000000000001","8.8","10","100","""byRandom""","5","5","9","117","5","95.8"
"2","270","100","10","3.4000000000000004","8.8","10","100","""byRandom""","5","5","7.800000000000001","124.9","5","95.8"
"2","275","100","5.4","0.8","4.800000000000001","10","100","""byRandom""","5","5","0.2","115.4","5","95.8"
"2","280","100","7.800000000000001","4.6000000000000005","6.2","10","100","""byRandom""","5","5","7.800000000000001","127.1","5","95.8"
"2","285","100","5.4","3.6","7.800000000000001","10","100","""byRandom""","5","5","0","125.4","5","95.8"
"2","290","100","5.6000000000000005","7.6000000000000005","4.800000000000001","10","100","""byRandom""","5","5","2.8000000000000003","113.9","5","95.8"
"2","295","100","2.2","3.2","8","10","100","""byRandom""","5","5","5.4","104.8","5","95.8"
"2","300","100","5.4","4.6000000000000005","6.2","10","100","""byRandom""","5","5","0.8","112","5","95.8"
"2","305","100","4.6000000000000005","2.6","9.200000000000001","10","100","""byRandom""","5","5","8.200000000000001","114.2","5","95.8"
"2","310","100","1.8","6.800000000000001","4.800000000000001","10","100","""byRandom""","5","5","5.4","143","5","95.8"
"2","315","100","5.6000000000000005","4.800000000000001","6.4","10","100","""byRandom""","5","5","1","138.6","5","95.8"
"2","320","100","3.2","6.4","3.8000000000000003","10","100","""byRandom""","5","5","9","135.8","5","95.8"
"2","325","100","5.2","8.8","9.8","10","100","""byRandom""","5","5","8.200000000000001","109.4","5","95.8"
"2","330","100","5.4","4.6000000000000005","6.2","10","100","""byRandom""","5","5","3.2","109.5","5","95.8"
"2","335","100","9.4","9","7.800000000000001","10","100","""byRandom""","5","5","0","126","5","95.8"
"2","340","100","0.4","2.6","8.200000000000001","10","100","""byRandom""","5","5","1.2000000000000002","115.9","5","95.8"
"2","345","100","8.4","7.6000000000000005","9.4","10","100","""byRandom""","5","5","4","112.9","5","95.8"
"2","350","100","5.4","6.4","5.6000000000000005","10","100","""byRandom""","5","5","1.4000000000000001","114.9","5","95.8"
"2","355","100","4.800000000000001","6.4","5.6000000000000005","10","100","""byRandom""","5","5","6.2","112.9","5","95.8"
"2","360","100","3.2","4.4","1.2000000000000002","10","100","""byRandom""","5","5","4","124","5","95.8"
"2","365","100","4","4.6000000000000005","10","10","100","""byRandom""","5","5","4.800000000000001","113.9","5","95.8"
"2","370","100","2.8000000000000003","3.2","8","10","100","""byRandom""","5","5","2.8000000000000003","118","5","95.8"
"2","375","100","8","8.8","9.600000000000001","10","100","""byRandom""","5","5","8.200000000000001","110.4","5","95.8"
"2","380","100","5.4","1.6","6.2","10","100","""byRandom""","5","5","1","116.5","5","95.8"
"2","385","100","1.8","5.4","4.800000000000001","10","100","""byRandom""","5","5","7.6000000000000005","118.3","5","95.8"
"2","390","100","1.6","8.200000000000001","9.8","10","100","""byRandom""","5","5","8.200000000000001","116.6","5","95.8"
"2","395","100","0.8","2.4000000000000004","2","10","100","""byRandom""","5","5","7.4","112.8","5","95.8"
"2","400","100","5.4","2","7.6000000000000005","10","100","""byRandom""","5","5","7.6000000000000005","126.1","5","95.8"
"2","405","100","5.4","3.2","6.2","10","100","""byRandom""","5","5","3.2","113.3","5","95.8"
"2","410","100","1.6","1.8","2","10","100","""byRandom""","5","5","8.4","110.8","5","95.8"
"2","415","100","7.800000000000001","5","2.4000000000000004","10","100","""byRandom""","5","5","9.200000000000001","107.2","5","95.8"
"2","420","100","5.4","7.800000000000001","5.6000000000000005","10","100","""byRandom""","5","5","4","95.7","5","95.7"
"2","425","100","5.2","6.4","8.8","10","100","""byRandom""","5","5","3.6","114.6","5","95.7"
"2","430","100","5.6000000000000005","6.800000000000001","4.800000000000001","10","100","""byRandom""","5","5","5.4","135.8","5","95.7"
"2","435","100","1","6.4","5.6000000000000005","10","100","""byRandom""","5","5","4","108.8","5","95.7"
"2","440","100","5.4","5","1.8","10","100","""byRandom""","5","5","6.800000000000001","119.9","5","95.7"
