"search-number","evaluation","numberagents*","a*","b*","c*","vision*","numberobjects*","objectstrategy*","numberpackets*","numbergroupmax*","d*","num-replicates","best-fitness-so-far"
"1","455","100","9.600000000000001","0.8","1.6","10","100","""byRandom""","5","5","2.2","5","100.6"
"2","445","100","5.4","7.800000000000001","5.6000000000000005","10","100","""byRandom""","5","5","4","5","95.7"
"3","420","100","6.4","0","7.800000000000001","10","100","""byRandom""","5","5","5","5","95.3"
