"search-number","evaluation","evals-requested-so-far","numberagents*","a*","b*","c*","vision*","numberobjects*","objectstrategy*","numberpackets*","numbergroupmax*","d*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","44","250","100","1.6","4.800000000000001","3.4000000000000004","10","100","""byRandom""","4","5","9.600000000000001","""-522113842""","0","242","121","70.2922470831599","242"
"1","45","250","100","1.6","4.800000000000001","3.4000000000000004","10","100","""byRandom""","4","5","9.600000000000001","""-613799403""","0","238","119","69.13754406977442","238"
"1","46","250","100","9","2.4000000000000004","1.6","10","100","""byRandom""","4","5","5","""-405502309""","0","290","145","84.1486779456457","290"
"1","47","250","100","9","2.4000000000000004","1.6","10","100","""byRandom""","4","5","5","""-1457076878""","0","229","114.5","66.53946197558258","229"
"1","48","250","100","9","2.4000000000000004","1.6","10","100","""byRandom""","4","5","5","""981546012""","0","191","95.5","55.569775957799216","191"
"1","49","250","100","9","2.4000000000000004","1.6","10","100","""byRandom""","4","5","5","""523740690""","0","237","118.5","68.84886830345629","237"
"1","50","250","100","9","2.4000000000000004","1.6","10","100","""byRandom""","4","5","5","""570698113""","0","170","85","49.50757517794625","170"
"1","51","250","100","3.8000000000000003","8.4","4.800000000000001","10","100","""byRandom""","4","5","6.2","""1802737359""","0","182","91","52.97169055259611","182"
"1","52","250","100","3.8000000000000003","8.4","4.800000000000001","10","100","""byRandom""","4","5","6.2","""-1973062261""","0","232","116","67.4054893907017","232"
"1","53","250","100","3.8000000000000003","8.4","4.800000000000001","10","100","""byRandom""","4","5","6.2","""-1052866947""","0","234","117","67.98284097231203","234"
"1","54","250","100","3.8000000000000003","8.4","4.800000000000001","10","100","""byRandom""","4","5","6.2","""1094171367""","0","234","117","67.98284097231203","234"
"1","55","250","100","3.8000000000000003","8.4","4.800000000000001","10","100","""byRandom""","4","5","6.2","""-37836641""","0","214","107","62.20932405998316","214"
"1","56","250","100","5","0.6000000000000001","2.8000000000000003","10","100","""byRandom""","4","5","4.6000000000000005","""-566979816""","0","228","114","66.25078615885752","228"
"1","57","250","100","5","0.6000000000000001","2.8000000000000003","10","100","""byRandom""","4","5","4.6000000000000005","""-51834407""","0","222","111","64.51873113032111","222"
"1","58","250","100","5","0.6000000000000001","2.8000000000000003","10","100","""byRandom""","4","5","4.6000000000000005","""1910028710""","0","229","114.5","66.53946197558258","229"
"1","59","250","100","5","0.6000000000000001","2.8000000000000003","10","100","""byRandom""","4","5","4.6000000000000005","""-490538968""","0","281","140.5","81.55059779057416","281"
"1","60","250","100","5","0.6000000000000001","2.8000000000000003","10","100","""byRandom""","4","5","4.6000000000000005","""111791642""","0","218","109","63.36402764976355","218"
"1","61","250","100","0.4","6.2","9.200000000000001","10","100","""byRandom""","4","5","0.8","""-1031883234""","0","197","98.5","57.301832431432764","197"
"1","62","250","100","0.4","6.2","9.200000000000001","10","100","""byRandom""","4","5","0.8","""-47772114""","0","188","94","54.703747586431405","188"
"1","63","250","100","0.4","6.2","9.200000000000001","10","100","""byRandom""","4","5","0.8","""1245468934""","0","183","91.5","53.2603667530244","183"
"1","64","250","100","0.4","6.2","9.200000000000001","10","100","""byRandom""","4","5","0.8","""2019622735""","0","243","121.5","70.58092282385282","243"
"1","65","250","100","0.4","6.2","9.200000000000001","10","100","""byRandom""","4","5","0.8","""344907481""","0","372","186","107.8200661596285","372"
"1","66","250","100","0","4","4.2","10","100","""byRandom""","4","5","5.6000000000000005","""-1573439436""","0","216","108","62.78667586890284","216"
"1","67","250","100","0","4","4.2","10","100","""byRandom""","4","5","5.6000000000000005","""-831706210""","0","210","105","61.05462035478287","210"
"1","68","250","100","0","4","4.2","10","100","""byRandom""","4","5","5.6000000000000005","""79617073""","0","233","116.5","67.6941651843052","233"
"1","69","250","100","0","4","4.2","10","100","""byRandom""","4","5","5.6000000000000005","""457537771""","0","329","164.5","95.40702280230738","329"
"1","70","250","100","0","4","4.2","10","100","""byRandom""","4","5","5.6000000000000005","""1744868700""","0","180","90","52.39433811650517","180"
"1","71","250","100","5.800000000000001","5.800000000000001","0","10","100","""byRandom""","4","5","7.2","""575687240""","0","257","128.5","74.62238270117084","257"
"1","72","250","100","5.800000000000001","5.800000000000001","0","10","100","""byRandom""","4","5","7.2","""-1169815796""","0","269","134.5","78.08649050892222","269"
"1","73","250","100","5.800000000000001","5.800000000000001","0","10","100","""byRandom""","4","5","7.2","""-399220091""","0","208","104","60.47726845683426","208"
"1","74","250","100","5.800000000000001","5.800000000000001","0","10","100","""byRandom""","4","5","7.2","""-1975597762""","0","249","124.5","72.31297716638879","249"
"1","75","250","100","5.800000000000001","5.800000000000001","0","10","100","""byRandom""","4","5","7.2","""-1245985234""","0","283","141.5","82.12794895770867","283"
"1","76","250","100","9.200000000000001","1","0.6000000000000001","10","100","""byRandom""","4","5","7.4","""1175824312""","0","221","110.5","64.23005527009921","221"
"1","77","250","100","9.200000000000001","1","0.6000000000000001","10","100","""byRandom""","4","5","7.4","""-596362322""","0","189","94.5","54.99242372060597","189"
"1","78","250","100","9.200000000000001","1","0.6000000000000001","10","100","""byRandom""","4","5","7.4","""2042445910""","0","290","145","84.1486779456457","290"
"1","79","250","100","9.200000000000001","1","0.6000000000000001","10","100","""byRandom""","4","5","7.4","""60782575""","0","207","103.5","60.18859249614221","207"
"1","80","250","100","9.200000000000001","1","0.6000000000000001","10","100","""byRandom""","4","5","7.4","""-980351390""","0","204","102","59.32256456582661","204"
