"search-number","evaluation","numberagents*","a*","b*","c*","vision*","numberobjects*","objectstrategy*","numberpackets*","packetradius*","fitness","num-replicates","best-fitness-so-far"
"2","380","200","0.6000000000000001","0.2","0.2","5","100","""byPackets""","5","3","30.85","20","30.325"
"2","400","200","0.2","0.9","0.7000000000000001","5","100","""byPackets""","5","3","34.075","20","30.325"
"2","420","200","1","0.7000000000000001","1","5","100","""byPackets""","5","3","69.875","20","30.325"
"2","440","200","0.2","1","0.1","5","100","""byPackets""","5","3","41.35","20","30.325"
"2","460","200","0","0.2","0.2","5","100","""byPackets""","5","3","32.875","20","30.325"
"2","480","200","0.5","0.1","0.4","5","100","""byPackets""","5","3","30.225","20","30.225"
"2","500","200","0.4","0.8","0","5","100","""byPackets""","5","3","37.8","20","30.225"
"2","520","200","0.2","0.2","0.7000000000000001","5","100","""byPackets""","5","3","76.125","20","30.225"
"2","540","200","0.2","0.9","0.9","5","100","""byPackets""","5","3","68.3","20","30.225"
"2","560","200","0.7000000000000001","0.30000000000000004","0.2","5","100","""byPackets""","5","3","54.725","20","30.225"
"2","580","200","0.5","0.4","0.2","5","100","""byPackets""","5","3","32.275","20","30.225"
"2","600","200","0.8","0.5","0.7000000000000001","5","100","""byPackets""","5","3","39.375","20","30.225"
"2","620","200","0.2","0.2","0","5","100","""byPackets""","5","3","31.175","20","30.225"
"2","640","200","0.8","0.7000000000000001","0","5","100","""byPackets""","5","3","40.3","20","30.225"
"2","660","200","0.30000000000000004","0.6000000000000001","0.6000000000000001","5","100","""byPackets""","5","3","37.5","20","30.225"
"2","680","200","0","0","0.9","5","100","""byPackets""","5","3","62.175","20","30.225"
"2","700","200","0","0.9","1","5","100","""byPackets""","5","3","48.2","20","30.225"
"2","720","200","0.7000000000000001","0","0.9","5","100","""byPackets""","5","3","67.975","20","30.225"
"2","740","200","0.7000000000000001","0.5","0.30000000000000004","5","100","""byPackets""","5","3","32.3","20","30.225"
"2","760","200","1","0.5","0.30000000000000004","5","100","""byPackets""","5","3","34.775","20","30.225"
"2","780","200","0.30000000000000004","0.4","1","5","100","""byPackets""","5","3","64.1","20","30.225"
"2","800","200","0","0.9","0","5","100","""byPackets""","5","3","61.475","20","30.225"
"2","820","200","0.2","0","0.1","5","100","""byPackets""","5","3","31.75","20","30.225"
"2","840","200","0.1","0","0.7000000000000001","5","100","""byPackets""","5","3","83.1","20","30.225"
"2","860","200","0.9","0.8","0.1","5","100","""byPackets""","5","3","64.425","20","30.225"
"2","880","200","0.5","0.7000000000000001","1","5","100","""byPackets""","5","3","53.825","20","30.225"
"2","900","200","0.7000000000000001","0","0.8","5","100","""byPackets""","5","3","58.45","20","30.225"
"2","920","200","0.1","0.5","0.7000000000000001","5","100","""byPackets""","5","3","51.3","20","30.225"
"2","940","200","0.6000000000000001","0.30000000000000004","0.4","5","100","""byPackets""","5","3","57.675","20","30.225"
"2","960","200","0.7000000000000001","0.7000000000000001","0.7000000000000001","5","100","""byPackets""","5","3","37.125","20","30.225"
"2","980","200","0.4","0.7000000000000001","0.8","5","100","""byPackets""","5","3","47.45","20","30.225"
"2","1000","200","0","0.9","0.6000000000000001","5","100","""byPackets""","5","3","56.25","20","30.225"
"3","20","200","0.9","0.4","0.9","5","100","""byPackets""","5","3","58.05","20","58.05"
"3","40","200","0.2","0.4","0.9","5","100","""byPackets""","5","3","55.15","20","55.15"
"3","60","200","0.8","0.6000000000000001","0.9","5","100","""byPackets""","5","3","47.9","20","47.9"
"3","80","200","1","0.8","0.7000000000000001","5","100","""byPackets""","5","3","31.575","20","31.575"
"3","100","200","0.5","0.2","0.4","5","100","""byPackets""","5","3","30.95","20","30.95"
"3","120","200","0.5","0.9","0.30000000000000004","5","100","""byPackets""","5","3","61.075","20","30.95"
"3","140","200","0.4","1","0","5","100","""byPackets""","5","3","77.4","20","30.95"
"3","160","200","0.2","0.9","0.2","5","100","""byPackets""","5","3","39.125","20","30.95"
"3","180","200","0.4","0.9","0.2","5","100","""byPackets""","5","3","62.325","20","30.95"
"3","200","200","0.6000000000000001","0","0.4","5","100","""byPackets""","5","3","31.7","20","30.95"
"3","220","200","0.7000000000000001","0.8","0.2","5","100","""byPackets""","5","3","58.325","20","30.95"
"3","240","200","0.9","0.6000000000000001","0.8","5","100","""byPackets""","5","3","42.75","20","30.95"
"3","260","200","0","0.2","0.7000000000000001","5","100","""byPackets""","5","3","77.175","20","30.95"
"3","280","200","0.9","0.7000000000000001","0.8","5","100","""byPackets""","5","3","60.775","20","30.95"
"3","300","200","0.30000000000000004","0.6000000000000001","0.9","5","100","""byPackets""","5","3","48.825","20","30.95"
"3","320","200","0.8","0.2","0.4","5","100","""byPackets""","5","3","31.65","20","30.95"
"3","340","200","0","0.2","0.4","5","100","""byPackets""","5","3","54.2","20","30.95"
"3","360","200","0.4","0.6000000000000001","0.7000000000000001","5","100","""byPackets""","5","3","40.2","20","30.95"
"3","380","200","0","0.9","0.2","5","100","""byPackets""","5","3","45.95","20","30.95"
"3","400","200","0.6000000000000001","0.2","0.2","5","100","""byPackets""","5","3","31.45","20","30.95"
"3","420","200","0.7000000000000001","0.2","0.4","5","100","""byPackets""","5","3","55.075","20","30.95"
"3","440","200","0.30000000000000004","0.6000000000000001","0.2","5","100","""byPackets""","5","3","66.275","20","30.95"
"3","460","200","0.9","0","0.4","5","100","""byPackets""","5","3","31.325","20","30.95"
"3","480","200","1","0.6000000000000001","0","5","100","""byPackets""","5","3","40.225","20","30.95"
