"search-number","evaluation","numberagents*","a*","b*","c*","vision*","numberobjects*","objectstrategy*","numberpackets*","packetradius*","num-replicates","best-fitness-so-far"
"1","1000","200","0.2","0.2","0","5","100","""byPackets""","5","3","20","29.55"
"2","1000","200","0.5","0.1","0.4","5","100","""byPackets""","5","3","20","30.225"
"3","1000","200","0.7000000000000001","0","0.4","5","100","""byPackets""","5","3","20","29.825"
"4","1000","200","0.8","0.1","0.2","5","100","""byPackets""","5","3","20","29.6"
"5","1000","200","0.4","0.2","0.2","5","100","""byPackets""","5","3","20","29.6"
